timesp,src_ip,dest_ip,proto,src_port,dest_port,packet_length,labeltam
2025-04-28T20:59:51.628459+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,2837.0,53.0,,normal
2025-04-28T20:59:51.628466+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,58171.0,53.0,,normal
2025-04-28T20:59:51.628473+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,25050.0,53.0,,normal
2025-04-28T20:59:51.628480+0530,192.168.1.12,192.168.1.1,UDP,41755.0,53.0,,normal
2025-04-28T20:59:51.628487+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4007:0830:0000:0000:0000:200e,UDP,62133.0,443.0,,normal
2025-04-28T20:59:51.628496+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,16732.0,53.0,,normal
2025-04-28T20:59:51.628504+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,29213.0,53.0,,normal
2025-04-28T20:59:51.628513+0530,192.168.1.12,192.168.1.1,UDP,36999.0,53.0,,normal
2025-04-28T20:59:51.628521+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,57386.0,53.0,,normal
2025-04-28T20:59:51.628529+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4007:0834:0000:0000:0000:2001,UDP,62402.0,443.0,,normal
2025-04-28T20:59:51.628537+0530,fe80:0000:0000:0000:f627:56ff:fe54:1987,2401:4900:1c26:50d3:6516:abab:079d:7ce7,IPv6-ICMP,,,,normal
2025-04-28T20:59:51.628544+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,65367.0,53.0,,normal
2025-04-28T20:59:51.628551+0530,192.168.1.12,192.168.1.1,UDP,45824.0,53.0,,normal
2025-04-28T20:59:51.628557+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,51319.0,53.0,,normal
2025-04-28T20:59:51.628564+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,13336.0,53.0,,normal
2025-04-28T20:59:51.628571+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,17610.0,53.0,,normal
2025-04-28T20:59:51.628579+0530,192.168.1.12,192.168.1.1,UDP,3487.0,53.0,,normal
2025-04-28T20:59:51.628585+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,57570.0,53.0,,normal
2025-04-28T20:59:51.628592+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,5406.0,53.0,,normal
2025-04-28T20:59:51.628599+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,31848.0,53.0,,normal
2025-04-28T20:59:51.628606+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,40515.0,53.0,,normal
2025-04-28T20:59:51.628614+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4007:082d:0000:0000:0000:200a,UDP,53500.0,443.0,,normal
2025-04-28T20:59:51.628625+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,34061.0,53.0,,normal
2025-04-28T20:59:51.628633+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,56922.0,53.0,,normal
2025-04-28T20:59:51.628640+0530,192.168.1.12,192.168.1.1,UDP,41731.0,53.0,,normal
2025-04-28T20:59:51.628647+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,58352.0,53.0,,normal
2025-04-28T20:59:51.628654+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,52008.0,53.0,,normal
2025-04-28T20:59:51.628660+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,5476.0,53.0,,normal
2025-04-28T20:59:51.628667+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,38970.0,53.0,,normal
